Year,Region,Mode of Transport,Total Distance (billion km)
2018,Extremely urbanized,Combined,46.80
2019,Extremely urbanized,Combined,46.20
2020,Extremely urbanized,Combined,31.40
2021,Extremely urbanized,Combined,36.30
2022,Extremely urbanized,Combined,40.90
2018,Extremely urbanized,Passenger car (driver),19.10
2019,Extremely urbanized,Passenger car (driver),18.50
2020,Extremely urbanized,Passenger car (driver),13.80
2021,Extremely urbanized,Passenger car (driver),15.20
2022,Extremely urbanized,Passenger car (driver),17.10
2018,Extremely urbanized,Passenger car (passenger),7.40
2019,Extremely urbanized,Passenger car (passenger),6.80
2020,Extremely urbanized,Passenger car (passenger),5.40
2021,Extremely urbanized,Passenger car (passenger),6.50
2022,Extremely urbanized,Passenger car (passenger),7.10
2018,Extremely urbanized,Train,8.80
2019,Extremely urbanized,Train,9.40
2020,Extremely urbanized,Train,3.50
2021,Extremely urbanized,Train,4.50
2022,Extremely urbanized,Train,5.80
2018,Extremely urbanized,Bus/tram/metro,2.60
2019,Extremely urbanized,Bus/tram/metro,2.50
2020,Extremely urbanized,Bus/tram/metro,1.20
2021,Extremely urbanized,Bus/tram/metro,1.40
2022,Extremely urbanized,Bus/tram/metro,1.90
2018,Extremely urbanized,Bike,4.60
2019,Extremely urbanized,Bike,4.50
2020,Extremely urbanized,Bike,3.90
2021,Extremely urbanized,Bike,4.00
2022,Extremely urbanized,Bike,4.70
2018,Extremely urbanized,Walking,1.50
2019,Extremely urbanized,Walking,1.50
2020,Extremely urbanized,Walking,1.80
2021,Extremely urbanized,Walking,2.40
2022,Extremely urbanized,Walking,2.10
2018,Extremely urbanized,Other,2.70
2019,Extremely urbanized,Other,2.90
2020,Extremely urbanized,Other,1.80
2021,Extremely urbanized,Other,2.30
2022,Extremely urbanized,Other,2.20
2018,Strongly urbanized,Combined,66.10
2019,Strongly urbanized,Combined,66.60
2020,Strongly urbanized,Combined,46.10
2021,Strongly urbanized,Combined,50.80
2022,Strongly urbanized,Combined,56.30
2018,Strongly urbanized,Passenger car (driver),33.90
2019,Strongly urbanized,Passenger car (driver),33.00
2020,Strongly urbanized,Passenger car (driver),24.30
